Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
13,78,13.178,JBMH,4,43,exec,4.133,,,JBMH,Position,,Pos Aud Horizontal,,,
13,79,13.179,JBMH,4,44,exec,4.134,,,JBMH,Position,,Pos J+H,,,
13,80,13.180,JBMH,4,45,exec,4.135,,,JBMH,Position,,Pos Back 30deg,,,
13,81,13.181,JBMH,4,46,exec,4.136,,,JBMH,Position,,Pos Nils,,,
13,82,13.182,JBMH,4,47,exec,4.137,,,JBMH,Position,,Pos Jeremy,,,
13,83,13.183,JBMH,4,48,exec,4.138,,,JBMH,Position,,Pos Home,,,
13,84,13.184,JBMH,4,49,exec,4.139,,,JBMH,Position,,Pos Back Horizontal,,,
,,13.185,JBMH,4,50,exec,4.140,,,,,,,,,
13,86,13.186,JBMH,4,51,exec,4.141,,,JBMH,Position,,P INV J+N+H,,,
13,87,13.187,JBMH,4,52,exec,4.142,,,JBMH,Position,,P INV Aud 60deg,,,
13,88,13.188,JBMH,4,53,exec,4.143,,,JBMH,Position,,P INV J+H,,,
13,89,13.189,JBMH,4,54,exec,4.144,,,JBMH,Position,,P INV 2 Aud 60deg,,,
,,,JBMH,4,55,exec,4.145,,,,,,,,,
13,61,13.161,JBMH,4,56,exec,4.146,,,JBMH,Position,,P INV2 Back Horz,,,
13,62,13.162,JBMH,4,57,exec,4.147,,,JBMH,Position,,P INV2 Drums,,,
13,63,13.163,JBMH,4,58,exec,4.148,,,JBMH,Position,,P INV2 Drums+Banner,,,
13,64,13.164,JBMH,4,59,exec,4.149,,,JBMH,Position,,P INV2 Nils,,,
13,65,13.165,JBMH,4,60,exec,4.150,,,JBMH,Position,,P INV2 J+H,,,
,,,JBMH,4,61,exec,4.151,,,,,,,,,
,,,JBMH,4,62,exec,4.152,,,,,,,,,
13,50,13.150,JBMH,4,63,exec,4.153,,,JBMH,Zoom,,Zoom Narrow,,,
13,51,13.151,JBMH,4,64,exec,4.154,,,JBMH,Zoom,,Zoom 50,,,
13,52,13.152,JBMH,4,65,exec,4.155,,,JBMH,Zoom,,Zoom Wide,,,
13,11,13.111,JBMH,4,66,exec,4.156,,,JBMH,Zoom-FX,,Zoom Dimmer Smooth .5,,,
13,12,13.112,JBMH,4,67,exec,4.157,,,JBMH,Zoom-FX,,Zoom Sin .5,,,
13,13,13.113,JBMH,4,68,exec,4.158,,,JBMH,Zoom-FX,,Zoom Sin Uni .5,,,
13,14,13.114,JBMH,4,69,exec,4.159,,,JBMH,Zoom-FX,,Zoom PWM Sym 1,,,
13,15,13.115,JBMH,4,70,exec,4.160,,,JBMH,Zoom-FX,,Zoom Dimmer PWM 1,,,
13,16,13.116,JBMH,4,71,exec,4.161,,,JBMH,Movement,,P 180 CW,,,
13,17,13.117,JBMH,4,72,exec,4.162,,,JBMH,Movement,,P 180 CCW,,,
13,18,13.118,JBMH,4,73,exec,4.163,,,JBMH,Movement,,P Symm to side,,,
13,19,13.119,JBMH,4,74,exec,4.164,,,JBMH,Movement,,P Symm to center,,,
13,20,13.120,JBMH,4,75,exec,4.165,,,JBMH,Movement,,P Uni Sin,,,
13,21,13.121,JBMH,4,76,exec,4.166,,,JBMH,Movement,,T Max,,,
13,22,13.122,JBMH,4,77,exec,4.167,,,JBMH,Movement,,T Min,,,
13,23,13.123,JBMH,4,78,exec,4.168,,,JBMH,Movement,,T Wave Sin,,,
13,24,13.124,JBMH,4,79,exec,4.169,,,JBMH,Movement,,TDim Wave Down,,,
13,25,13.125,JBMH,4,80,exec,4.170,,,JBMH,Movement,,TDim Wave Up,,,
13,31,13.131,JBMH,4,81,exec,4.171,,,JBMH,Movement,,PT 30deg slow,,,
13,32,13.132,JBMH,4,82,exec,4.172,,,JBMH,Movement,,PT 20deg med,,,
13,33,13.133,JBMH,4,83,exec,4.173,,,JBMH,Movement,,PT RND,,,
13,34,13.134,JBMH,4,84,exec,4.174,,,JBMH,Movement,,PTDim RND Flickr,,,
13,35,13.135,JBMH,4,85,exec,4.175,,,JBMH,Movement,,Rotary Light 360,,,
13,36,13.136,JBMH,4,86,exec,4.176,,,JBMH,Movement,,P Symm Block,,,
13,37,13.137,JBMH,4,87,exec,4.177,,,JBMH,Movement,,P SymSym fast,,,
13,38,13.138,JBMH,4,88,exec,4.178,,,JBMH,Movement,,P Phased Symm Front,,,
13,39,13.139,JBMH,4,89,exec,4.179,,,JBMH,Movement,,P Block sin,,,
13,40,13.140,JBMH,4,90,exec,4.180,,,JBMH,Movement,,PT 10deg med,,,
13,41,13.141,JBMH,4,91,exec,4.181,,,JBMH,Movement,,P Sym Pha 180deg,,,
13,42,13.142,JBMH,4,92,exec,4.182,,,JBMH,Movement,,P Sym +-90deg,,,
13,43,13.143,JBMH,4,93,exec,4.183,,,JBMH,Movement,,p SymSym fast noDim,,,
,,13.144,JBMH,4,94,exec,4.184,,,JBMH,Movement,,PT20 Slow,,,
15,90,,JBMH,4,97,exec,4.187,,,JBMH,Fadeout-Short,,FadeOut Short JBMH1,1,1,Fade in / Fade Out getrnnt setzen via setting mit velocity?
15,91,,JBMH,4,98,exec,4.188,,,JBMH,Fadeout-Short,,FadeOut Short JBMH2,2,1,
15,92,,JBMH,4,99,exec,4.189,,,JBMH,Fadeout-Short,,FadeOut Short JBMH3,3,1,
15,93,,JBMH,4,100,exec,4.190,,,JBMH,Fadeout-Short,,FadeOut Short JBMH4,4,1,
,,,Mic,5,,osc,-,,,Mic,,,Fadein Speed,,,
,,,Mic,5,,osc,-,,,Mic,,,Fadeout Speed,,,
,,,Mic,5,,osc,-,,,Mic,,,Pixel fadein Speed,,,
,,,Mic,5,,osc,-,,,Mic,,,Pixel fadeout Speed,,,
8,40,-,Mic,5,1,OSC,-,,,Mic,Brightness,,Mic 100% brightness,,,
8,41,-,Mic,5,1,OSC,-,,,Mic,Brightness,,Mic 50% brightness,,,
8,42,-,Mic,5,1,OSC,-,,,Mic,Brightness,,Mic 25% brightness,,,
8,43,-,Mic,5,1,OSC,-,,,Mic,Brightness,,Mic 10% brightness,,,
,,,Mic,5,11,exec,5.101,,,Mic,,,Blackout soft,,,
,,,Mic,5,12,exec,5.102,,,Mic,,,Blackout hard,,,
,,,Mic,5,13,exec,5.103,,,Mic,,,White Flashes,,,
,,,Mic,5,14,exec,5.104,,,Mic,,,Strobe Dim,,,
,,,Mic,5,15,exec,5.105,,,Mic,,,Strobe White,,,
15,19,15.120,Mic,5,16,exec,5.106,,,Mic,FadeIn,,FadeIn Mic,1,1,
15,24,15.125,Mic,5,16,exec,-,,,Mic,FadeIn-white,,FadeIn White Mic,1,1,
15,79,15.180,Mic,5,20,exec,5.110,,,Mic,Flash,,Flash Mic,1,1,
15,84,15.185,Mic,5,20,exec,-,,,Mic,Flash-White,,Flash White Mic,1,1,
15,4,15.105,Mic,5,24,exec,5.114,,,Mic,FadeOut,,FadeOut Mic,1,1,
15,9,15.110,Mic,5,24,exec,-,,,Mic,FadeOut-white,,FadeOut White Mic,1,1,
15,34,15.135,Mic,5,28,exec,-,,,Mic,S12,,S12 Mic,1,1,
15,39,15.140,Mic,5,28,exec,-,,,Mic,S12-white,,S12 White Mic,1,1,
15,49,15.150,Mic,5,28,exec,5.118,,,Mic,S16,,S16 Mic,1,1,
15,54,15.155,Mic,5,28,exec,-,,,Mic,S16-white,,S16 White Mic,1,1,
15,64,15.165,Mic,5,28,exec,-,,,Mic,S24,,S24 Mic,1,1,
15,69,15.170,Mic,5,28,exec,-,,,Mic,S24-white,,S24 White Mic,1,1,
16,41,16.141,Mic,5,41,exec,5.131,,,Mic,Flash,,Mic 1,1,1,
16,42,16.142,Mic,5,42,exec,5.132,,,Mic,Flash,,Mic 2,1,2,
16,43,16.143,Mic,5,43,exec,5.133,,,Mic,Flash,,Mic 3,1,3,
16,44,16.144,Mic,5,44,exec,5.134,,,Mic,Flash,,Mic 4,1,4,
16,45,16.145,Mic,5,45,exec,5.135,,,Mic,Flash,,Mic 5,1,5,
16,46,16.146,Mic,5,46,exec,5.136,,,Mic,Flash,,Mic 6,1,6,
16,47,16.147,Mic,5,47,exec,5.137,,,Mic,Flash,,Mic 7,1,7,
16,48,16.148,Mic,5,48,exec,5.138,,,Mic,Flash,,Mic 8,1,8,
16,49,16.149,Mic,5,49,exec,5.139,,,Mic,Flash,,Mic 9,1,9,
16,50,16.150,Mic,5,50,exec,5.140,,,Mic,Flash,,Mic 10,1,10,
16,51,16.151,Mic,5,51,exec,5.141,,,Mic,Flash,,Mic 11,1,11,
16,52,16.152,Mic,5,52,exec,5.142,,,Mic,Flash,,Mic 12,1,12,
16,53,16.153,Mic,5,53,exec,5.143,,,Mic,Flash,,Mic 13,1,13,
16,54,16.154,Mic,5,54,exec,5.144,,,Mic,Flash,,Mic 14,1,14,
16,55,16.155,Mic,5,55,exec,5.145,,,Mic,Flash,,Mic 15,1,15,
16,56,16.156,Mic,5,56,exec,5.146,,,Mic,Flash,,Mic 16,1,16,
16,72,,Mic,5,61,exec,5.151,,,Mic,Fadeout-Seg,,Mic FdOut 1,1,1,
16,73,,Mic,5,62,exec,5.152,,,Mic,Fadeout-Seg,,Mic FdOut 2,1,2,
16,74,,Mic,5,63,exec,5.153,,,Mic,Fadeout-Seg,,Mic FdOut 3,1,3,
16,75,,Mic,5,64,exec,5.154,,,Mic,Fadeout-Seg,,Mic FdOut 4,1,4,
,,,Mic,5,65,exec,5.155,,,,,,FX / empty,,,
,,,Mic,5,66,exec,5.156,,,,,,FX / empty,,,
,,,Mic,5,67,exec,5.157,,,,,,FX / empty,,,
,,,Mic,5,68,exec,5.158,,,,,,FX / empty,,,
,,,Mic,5,69,exec,5.159,,,,,,FX / empty,,,
,,,Mic,5,70,exec,5.160,,,,,,FX / empty,,,
,,,Mic,5,71,exec,5.161,,,,,,FX / empty,,,
,,,Mic,5,72,exec,5.162,,,,,,FX / empty,,,
,,,Mic,5,73,exec,5.163,,,,,,FX / empty,,,
,,,Mic,5,74,exec,5.164,,,,,,FX / empty,,,
,,,Mic,5,75,exec,5.165,,,,,,FX / empty,,,
,,,Mic,5,76,exec,5.166,,,,,,FX / empty,,,
,,,Mic,5,77,exec,5.167,,,,,,FX / empty,,,
,,,Mic,5,78,exec,5.168,,,,,,FX / empty,,,
,,,Mic,5,79,exec,5.169,,,,,,FX / empty,,,
,,,Mic,5,80,exec,5.170,,,,,,FX / empty,,,
,,,Mic,5,81,exec,5.171,,,,,,FX / empty,,,
,,,Mic,5,82,exec,5.172,,,,,,FX / empty,,,
,,,Mic,5,83,exec,5.173,,,,,,FX / empty,,,
,,,Mic,5,84,exec,5.174,,,,,,FX / empty,,,
,,,Mic,5,85,exec,5.175,,,,,,FX / empty,,,
,,,Mic,5,86,exec,5.176,,,,,,FX / empty,,,
,,,Mic,5,87,exec,5.177,,,,,,FX / empty,,,
,,,Mic,5,88,exec,5.178,,,,,,FX / empty,,,
,,,Mic,5,89,exec,5.179,,,,,,FX / empty,,,
,,,Mic,5,90,exec,5.180,,,,,,FX / empty,,,
15,110,,SFX,6,11,exec,6.101,,,Fog,Flash,Fog Nils,Fog Nils,1,1,
15,111,,SFX,6,12,exec,6.102,,,Fog,Flash,Fog Jannik,Fog Jannik,1,1,
15,112,,SFX,6,13,exec,6.103,,,Fog,Flash,Fog Helge,Fog Helge,1,1,
15,113,,SFX,6,14,exec,6.104,,,Fog,Flash,Fog Vert,Fog Vert,1,1,
15,114,,SFX,6,15,exec,6.105,,,Fog,Flash,Fog Horz,Fog Horz,1,1,
,,,SFX,6,16,exec,6.106,,,Rotary Light,Activate,,Rotary Light L,1,1,
,,,SFX,6,17,exec,6.107,,,Rotary Light,Activate,,Rotary Light R,2,1,
,,,Bees,7,1,OSC,-,,,Bees,Brightness,,Bees Brightness,,,
,,,Bees,7,2,OSC,-,,,Bees,PT Speed Master,,Bees Speed,,,
,,,Bees,7,,osc,-,,,,,,Fadein Speed,,,
,,,Bees,7,,osc,-,,,,,,Fadeout Speed,,,
,,,Bees,7,11,exec,7.101,,,Bees,,,Blackout soft,,,
,,,Bees,7,12,exec,7.102,,,Bees,,,Blackout hard,,,
,,,Bees,7,13,exec,7.103,,,Bees,,,White Flashes,,,
,,,Bees,7,14,exec,7.104,,,Bees,,,Strobe Dim,,,
,,,Bees,7,15,exec,7.105,,,Bees,,,Strobe White,,,
,,,Bees,7,16,exec,7.106,,,Bees,FadeIn,,FadeIn Bee1,1,1,
,,,Bees,7,17,exec,7.107,,,Bees,FadeIn,,FadeIn Bee2,2,1,
,,,Bees,7,18,exec,7.108,,,Bees,FadeIn,,FadeIn Bee3,3,1,
,,,Bees,7,19,exec,7.109,,,Bees,FadeIn,,FadeIn Bee4,4,1,
,,,Bees,7,20,exec,7.110,,,Bees,Flash,,Flash Bee1,1,1,
,,,Bees,7,21,exec,7.111,,,Bees,Flash,,Flash Bee2,2,1,
,,,Bees,7,22,exec,7.112,,,Bees,Flash,,Flash Bee3,3,1,
,,,Bees,7,23,exec,7.113,,,Bees,Flash,,Flash Bee4,4,1,
,,,Bees,7,24,exec,7.114,,,Bees,FadeOut,,FadeOut Bee1,1,1,
,,,Bees,7,25,exec,7.115,,,Bees,FadeOut,,FadeOut Bee2,2,1,
,,,Bees,7,26,exec,7.116,,,Bees,FadeOut,,FadeOut Bee3,3,1,
,,,Bees,7,27,exec,7.117,,,Bees,FadeOut,,FadeOut Bee4,4,1,
,,,Bees,7,28,exec,7.118,,,Bees,Strobe,,Strobe Bee1,1,1,
,,,Bees,7,29,exec,7.119,,,Bees,Strobe,,Strobe Bee2,2,1,
,,,Bees,7,30,exec,7.120,,,Bees,Strobe,,Strobe Bee3,3,1,
,,,Bees,7,31,exec,7.121,,,Bees,Strobe,,Strobe Bee4,4,1,
,,,Bees,7,32,exec,7.122,,,Bees,,,,,,
,,,Bees,7,33,exec,7.123,,,Bees,Zoom,,Zoom Narrow,,,
,,,Bees,7,34,exec,7.124,,,Bees,Zoom,,Zoom 50,,,
,,,Bees,7,35,exec,7.125,,,Bees,Zoom,,Zoom Wide,,,
,,,Bees,7,36,exec,7.126,,,Bees,Zoom-FX,,Zoom Dimmer Smooth .5,,,
,,,Bees,7,37,exec,7.127,,,Bees,Zoom-FX,,Zoom Sin .5,,,
,,,Bees,7,38,exec,7.128,,,Bees,Zoom-FX,,Zoom Sin Uni .5,,,
,,,Bees,7,39,exec,7.129,,,Bees,Zoom-FX,,Zoom PWM Sym 1,,,
,,,Bees,7,40,exec,7.130,,,Bees,Zoom-FX,,Zoom Dimmer PWM 1,,,
,,,Bees,7,41,exec,7.131,,,Bees,,,,,,
,,,Bees,7,41,exec,7.131,,,Bees,Honeycomb-FX,,Honeycomb 1,,,
,,,Bees,7,42,exec,7.132,,,Bees,Honeycomb-FX,,Honeycomb 2,,,
,,,Bees,7,43,exec,7.133,,,Bees,Honeycomb-FX,,Honeycomb 3,,,
,,,Bees,7,44,exec,7.134,,,Bees,Honeycomb-FX,,Honeycomb 4,,,
,,,Bees,7,45,exec,7.135,,,Bees,Honeycomb-FX,,Honeycomb Move1,,,
,,,Bees,7,46,exec,7.136,,,Bees,Honeycomb-FX,,Honeycomb Move2,,,
,,,Bees,7,47,exec,7.137,,,Bees,Honeycomb-FX,,Honeycomb Move3,,,
,,,Bees,7,48,exec,7.138,,,Bees,,,,,,
,,,Bees,7,49,exec,7.139,,,Bees,Position,,,,,
,,,Bees,7,50,exec,7.140,,,Bees,Position,,,,,
,,,Bees,7,51,exec,7.141,,,Bees,Position,,,,,
,,,Bees,7,52,exec,7.142,,,Bees,Position,,,,,
,,,Bees,7,53,exec,7.143,,,Bees,Position,,,,,
,,,Bees,7,54,exec,7.144,,,Bees,Position,,,,,
,,,Bees,7,55,exec,7.145,,,Bees,Position,,,,,
,,,Bees,7,56,exec,7.146,,,Bees,Position,,,,,
,,,Bees,7,57,exec,7.147,,,Bees,Position,,,,,
,,,Bees,7,58,exec,7.148,,,Bees,Position,,,,,
,,,Bees,7,59,exec,7.149,,,Bees,Position,,,,,
,,,Bees,7,60,exec,7.150,,,Bees,Position,,,,,
,,,Bees,7,61,exec,7.151,,,Bees,Position,,,,,
,,,Bees,7,62,exec,7.152,,,Bees,Position,,,,,
,,,Bees,7,63,exec,7.153,,,Bees,Position,,,,,
,,,Bees,7,64,exec,7.154,,,Bees,Position,,,,,
,,,Bees,7,65,exec,7.155,,,Bees,Position,,,,,
,,,Bees,7,66,exec,7.156,,,Bees,Position,,,,,
,,,Bees,7,67,exec,7.157,,,Bees,Position,,,,,
,,,Bees,7,68,exec,7.158,,,Bees,Position,,,,,
,,,Bees,7,69,exec,7.159,,,Bees,Position,,,,,
,,,Bees,7,70,exec,7.160,,,Bees,,,,,,
,,,Bees,7,71,exec,7.161,,,Bees,Movement,,,,,
,,,Bees,7,72,exec,7.162,,,Bees,Movement,,,,,
,,,Bees,7,73,exec,7.163,,,Bees,Movement,,,,,
,,,Bees,7,74,exec,7.164,,,Bees,Movement,,,,,
,,,Bees,7,75,exec,7.165,,,Bees,Movement,,,,,
,,,Bees,7,76,exec,7.166,,,Bees,Movement,,,,,
,,,Bees,7,77,exec,7.167,,,Bees,Movement,,,,,
,,,Bees,7,78,exec,7.168,,,Bees,Movement,,,,,
,,,Bees,7,79,exec,7.169,,,Bees,Movement,,,,,
,,,Bees,7,80,exec,7.170,,,Bees,Movement,,,,,
,,,Bees,7,81,exec,7.171,,,Bees,Movement,,,,,
,,,Bees,7,82,exec,7.172,,,Bees,Movement,,,,,
,,,Bees,7,83,exec,7.173,,,Bees,Movement,,,,,
,,,Bees,7,84,exec,7.174,,,Bees,Movement,,,,,
,,,Bees,7,85,exec,7.175,,,Bees,Movement,,,,,
,,,Bees,7,86,exec,7.176,,,Bees,Movement,,,,,
,,,Bees,7,87,exec,7.177,,,Bees,Movement,,,,,
,,,Bees,7,88,exec,7.178,,,Bees,Movement,,,,,
,,,Bees,7,89,exec,7.179,,,Bees,Movement,,,,,
,,,Bees,7,90,exec,7.180,,,Bees,Movement,,,,,
,,,Bees,7,91,exec,7.181,,,Bees,Movement,,,,,
,,,Bees,7,92,exec,7.182,,,Bees,Movement,,,,,
,,,Bees,7,93,exec,7.183,,,Bees,Movement,,,,,
,,,Bees,7,94,exec,7.184,,,Bees,Movement,,,,,
,,,Bees,7,97,exec,7.187,,,Bees,,,,,,
,,,Bees,7,98,exec,7.188,,,Bees,,,,,,
,,,Bees,7,99,exec,7.189,,,Bees,,,,,,
,,,Bees,7,100,exec,7.190,,,Bees,,,,,,
,,,SR Strips,8,1,OSC,-,,,SR Strips,Brightness,,Bees Brightness,,,
,,,SR Strips,8,,osc,-,,,SR Strips,,,Fadein Speed,,,
,,,SR Strips,8,,osc,-,,,SR Strips,,,Fadeout Speed,,,
,,,SR Strips,8,11,exec,8.101,,,SR Strips,,,Blackout soft,,,
,,,SR Strips,8,12,exec,8.102,,,SR Strips,,,Blackout hard,,,
,,,SR Strips,8,13,exec,8.103,,,SR Strips,,,White Flashes,,,
,,,SR Strips,8,14,exec,8.104,,,SR Strips,,,Strobe Dim,,,
,,,SR Strips,8,15,exec,8.105,,,SR Strips,,,Strobe White,,,
,,,SR Strips,8,16,exec,8.106,,,SR Strips,FadeIn,,FadeIn SRStrip1,1,1,
,,,SR Strips,8,17,exec,8.107,,,SR Strips,FadeIn,,FadeIn SRStrip2,2,1,
,,,SR Strips,8,18,exec,8.108,,,SR Strips,FadeIn,,FadeIn SRStrip3,3,1,
,,,SR Strips,8,19,exec,8.109,,,SR Strips,FadeIn,,FadeIn SRStrip4,4,1,
,,,SR Strips,8,20,exec,8.110,,,SR Strips,Flash,,Flash SRStrip1,1,1,
,,,SR Strips,8,21,exec,8.111,,,SR Strips,Flash,,Flash SRStrip2,2,1,
,,,SR Strips,8,22,exec,8.112,,,SR Strips,Flash,,Flash SRStrip3,3,1,
,,,SR Strips,8,23,exec,8.113,,,SR Strips,Flash,,Flash SRStrip4,4,1,
,,,SR Strips,8,24,exec,8.114,,,SR Strips,FadeOut,,FadeOut SRStrip1,1,1,
,,,SR Strips,8,25,exec,8.115,,,SR Strips,FadeOut,,FadeOut SRStrip2,2,1,
,,,SR Strips,8,26,exec,8.116,,,SR Strips,FadeOut,,FadeOut SRStrip3,3,1,
,,,SR Strips,8,27,exec,8.117,,,SR Strips,FadeOut,,FadeOut SRStrip4,4,1,
,,,SR Strips,8,28,exec,8.118,,,SR Strips,Strobe,,Strobe SRStrip1,1,1,
,,,SR Strips,8,29,exec,8.119,,,SR Strips,Strobe,,Strobe SRStrip2,2,1,
,,,SR Strips,8,30,exec,8.120,,,SR Strips,Strobe,,Strobe SRStrip3,3,1,
,,,SR Strips,8,31,exec,8.121,,,SR Strips,Strobe,,Strobe SRStrip4,4,1,
,,,SR Strips,8,32,exec,8.122,,,SR Strips,,,,,,
,,,SR Strips,8,33,exec,8.123,,,SR Strips,FX Mode,Loop,FX Mode = Loop,,,
,,,SR Strips,8,34,exec,8.124,,,SR Strips,FX Mode,Loop + Black,FX Mode = Loop+Black,,,
,,,SR Strips,8,35,exec,8.125,,,SR Strips,FX Mode,Oneshot + Black,FX Mode = Oneshot+Black,,,
,,,SR Strips,8,36,exec,8.126,,,SR Strips,,,,,,
,,,SR Strips,8,37,exec,8.127,,,SR Strips,,,,,,
,,,SR Strips,8,38,exec,8.128,,,SR Strips,,,,,,
,,,SR Strips,8,39,exec,8.129,,,SR Strips,,,,,,
,,,SR Strips,8,40,exec,8.130,,,SR Strips,,,,,,
,,,SR Strips,8,41,exec,8.131,,,SR Strips,FX Toggle,Shot Fast BarDown,,,,
,,,SR Strips,8,41,exec,8.132,,,SR Strips,FX Toggle,Shot Fast BarUpDown,,,,
,,,SR Strips,8,42,exec,8.133,,,SR Strips,FX Toggle,Shot Fast ComprDoubleWaves,,,,
,,,SR Strips,8,43,exec,8.134,,,SR Strips,FX Toggle,Shot Fast ComprExpndBars,,,,
,,,SR Strips,8,44,exec,8.135,,,SR Strips,FX Toggle,Shot Fast ComprFullBars,,,,
,,,SR Strips,8,45,exec,8.136,,,SR Strips,FX Toggle,Shot Fast ComprWaves,,,,
,,,SR Strips,8,46,exec,8.137,,,SR Strips,FX Toggle,Shot Fast DoubleDownWave,,,,
,,,SR Strips,8,47,exec,8.138,,,SR Strips,FX Toggle,Shot Fast DropDown,,,,
,,,SR Strips,8,48,exec,8.139,,,SR Strips,FX Toggle,Shot Fast DropUp,,,,
,,,SR Strips,8,49,exec,8.140,,,SR Strips,FX Toggle,Shot Fast ExpndDoubleWaves,,,,
,,,SR Strips,8,50,exec,8.141,,,SR Strips,FX Toggle,Shot Fast ExpndWaves,,,,
,,,SR Strips,8,51,exec,8.142,,,SR Strips,FX Toggle,Shot Fast FullBarDown,,,,
,,,SR Strips,8,52,exec,8.143,,,SR Strips,FX Toggle,Shot Fast FullBarUp,,,,
,,,SR Strips,8,53,exec,8.144,,,SR Strips,FX Toggle,Shot Fast WaveLongDown,,,,
,,,SR Strips,8,54,exec,8.145,,,SR Strips,FX Toggle,Shot Fast WaveUp,,,,
,,,SR Strips,8,55,exec,8.146,,,SR Strips,FX Toggle,Shot Horiz ExpandSmooth,,,,
,,,SR Strips,8,56,exec,8.147,,,SR Strips,FX Toggle,Shot Horiz MoveSmooth,,,,
,,,SR Strips,8,57,exec,8.148,,,SR Strips,FX Toggle,Shot Slow BarUniExpnd,,,,
,,,SR Strips,8,58,exec,8.149,,,SR Strips,FX Toggle,Shot Slow BarUniUpSingle,,,,
,,,SR Strips,8,59,exec,8.150,,,SR Strips,FX Toggle,Shot Slow DropsUniComp,,,,
,,,SR Strips,8,60,exec,8.151,,,SR Strips,FX Toggle,Shot Slow DropsUniDown,,,,
,,,SR Strips,8,61,exec,8.152,,,SR Strips,FX Toggle,Shot Slow DropsUniExpnd,,,,
,,,SR Strips,8,62,exec,8.153,,,SR Strips,FX Toggle,Shot Slow FlowDown1,,,,
,,,SR Strips,8,63,exec,8.154,,,SR Strips,FX Toggle,Shot Slow FlowDown2,,,,
,,,SR Strips,8,64,exec,8.155,,,SR Strips,FX Toggle,Shot Slow FlowUp1,,,,
,,,SR Strips,8,65,exec,8.156,,,SR Strips,FX Toggle,Shot Slow FlowUp2,,,,
,,,SR Strips,8,66,exec,8.157,,,SR Strips,FX Toggle,Amb MatrixDown1,,,,
,,,SR Strips,8,67,exec,8.158,,,SR Strips,FX Toggle,Amb MatrixDown2,,,,
,,,SR Strips,8,68,exec,8.159,,,SR Strips,FX Toggle,Amb MatrixUp,,,,
,,,SR Strips,8,69,exec,8.160,,,SR Strips,FX Toggle,Amb MatrixUp2,,,,
,,,SR Strips,8,70,exec,8.161,,,SR Strips,FX Toggle,Amb BarUniDownUni,,,,
,,,SR Strips,8,71,exec,8.162,,,SR Strips,FX Toggle,Amb BarUniUpDown,,,,
,,,SR Strips,8,72,exec,8.163,,,SR Strips,FX Toggle,Amb Movement2,,,,
,,,SR Strips,8,73,exec,8.164,,,SR Strips,FX Toggle,Amb DiagDropsDown,,,,
,,,SR Strips,8,74,exec,8.165,,,SR Strips,FX Toggle,Amb Movement5,,,,
,,,SR Strips,8,75,exec,8.166,,,SR Strips,FX Toggle,Amb Movement6,,,,
,,,SR Strips,8,76,exec,8.167,,,SR Strips,FX Toggle,Amb Movement7,,,,
,,,SR Strips,8,77,exec,8.168,,,SR Strips,FX Toggle,Amb Movement8,,,,
,,,SR Strips,8,78,exec,8.169,,,SR Strips,FX Toggle,Amb Movement9,,,,
,,,SR Strips,8,79,exec,8.170,,,SR Strips,FX Toggle,Amb Smooth2,,,,
,,,SR Strips,8,80,exec,8.171,,,SR Strips,FX Toggle,Amb Smooth4,,,,
,,,SR Strips,8,81,exec,8.172,,,SR Strips,FX Toggle,Noise 11 Glimmer,,,,
,,,SR Strips,8,82,exec,8.173,,,SR Strips,FX Toggle,Noise 12 Fast,,,,
,,,SR Strips,8,83,exec,8.174,,,SR Strips,FX Toggle,Noise 14,,,,
,,,SR Strips,8,84,exec,8.175,,,SR Strips,FX Toggle,Noise 15,,,,
,,,SR Strips,8,85,exec,8.176,,,SR Strips,FX Toggle,Noise 17 Clr,,,,
,,,SR Strips,8,86,exec,8.177,,,SR Strips,FX Toggle,Noise 1 Blips,,,,
,,,SR Strips,8,87,exec,8.178,,,SR Strips,FX Toggle,Noise 2 RndmMovemnt,,,,
,,,SR Strips,8,88,exec,8.179,,,SR Strips,FX Toggle,Noise 3,,,,
,,,SR Strips,8,89,exec,8.180,,,SR Strips,FX Toggle,Noise 9 Strobe,,,,
,,,SR Strips,8,90,exec,8.181,,,SR Strips,FX Toggle,Clr CometDown1,,,,
,,,SR Strips,8,91,exec,8.182,,,SR Strips,FX Toggle,Clr Movement1,,,,
,,,SR Strips,8,92,exec,8.183,,,SR Strips,FX Toggle,Clr Movement10,,,,
,,,SR Strips,8,93,exec,8.184,,,SR Strips,FX Toggle,Clr Movement3,,,,
,,,SR Strips,8,94,exec,8.185,,,SR Strips,FX Toggle,Clr Movement4,,,,
,,,SR Strips,8,97,exec,8.186,,,SR Strips,FX Toggle,Clr Movement5,,,,
,,,SR Strips,8,98,exec,8.187,,,SR Strips,FX Toggle,Clr Movement6,,,,
,,,SR Strips,8,99,exec,8.188,,,SR Strips,FX Toggle,Clr Movement7,,,,
,,,SR Strips,8,100,exec,8.189,,,SR Strips,FX Toggle,Clr Movement8,,,,
,,,SR Strips,8,100,exec,8.189,,,SR Strips,FX Toggle,Clr Movement9,,,,
1,39,,,,,,,,,Song Exec,,,???,,,
1,85,,,,,,,,,???,,,Color Flash Berry,,,
,,,,,,,,,,,,,,,,
