Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
1,121,,Songs,1,,,,,,Song Exec,,Warp 1,Warp 1,,,
1,122,,Songs,1,,,,,,Song Exec,,Warp 2,Warp 2,,,
2,1,,Songs,1,,,,,,Song Exec,,Fake 1,1 rndm blue,,,
2,2,,Songs,1,,,,,,Song Exec,,Fake 2,ss slow,,,
2,3,,Songs,1,,,,,,Song Exec,,Fake 3,ss rndm (von wrong way),,,
8,120,1.6,Globals,2,0,exec,2.1,,,Global,BPM,BPM,BPM,,,
,,,Globals,2,3,osc,,,,,,,FX Speed,,,
,,,Globals,2,4,osc,,,,,,,FX Speed Pan Tilt,,,
,,,Globals,2,5,osc,,,,,,,Strobe Speed,,,
,,,Globals,2,6,osc,,,,,,,Color Flash FadeIn,,,
,,,Globals,2,7,osc,,,,,,,Color Flash FadeOut,,,
8,118,1.103,Globals,2,8,exec,2.103,,,Global,Blackout temp,Blackout temp,Blackout temp,,,
8,119,1.101,Globals,2,9,exec,2.101,,,Global,All Off,Blackout / All Off,Blackout / All Off,,,
8,61,,Globals,2,12,exec,2.161,,,Global,Color,Red,Color Flash Red,,,
8,62,,Globals,2,13,exec,2.162,,,Global,Color,Yellow,Color Flash Yellow,,,
8,63,,Globals,2,14,exec,2.163,,,Global,Color,Green,Color Flash Green,,,
8,64,,Globals,2,15,exec,2.164,,,Global,Color,Cyan,Color Flash Cyan,,,
8,65,,Globals,2,16,exec,2.165,,,Global,Color,Blue,Color Flash Blue,,,
8,66,,Globals,2,17,exec,2.166,,,Global,Color,Magenta,Color Flash Magenta,,,
8,67,,Globals,2,18,exec,2.167,,,Global,Color,White,Color Flash White,,,
8,68,,Globals,2,19,exec,2.168,,,Global,Color,Orange-Soft,Color Flash Orange Soft,,,
8,69,,Globals,2,20,exec,2.169,,,Global,Color,Yellow-Soft,Color Flash Yellow Soft,,,
